issue	created	updated	author	comments	type	labels	repro	run	title	verdict	dup	settype	settitle	addlabels	rmlabels	action	note
9	2013-03-06	2026-08-14	mikestillman	0	Task	Engine,Linear Algebra	prose	n/a	change class templates to function templates	stands		Task		Linear Algebra			internal C++ design ask: how to organize linear-algebra templates over mutable matrices; no reproducer, nothing to test. Retyped Feature->Task
44	2013-06-14	2026-08-14	mikestillman	3	Bug	Engine	prose	n/a	minimalPresentation for modules over ZZ	reproduces		Bug		Engine	bug		minimalPresentation ker f does not finish in 100s on 1.26.06 -- worse than reported; trim path still the workaround. 'bug' label dropped in favour of type Bug
58	2013-10-28	2026-08-14	DanGrayson	13	Bug	Core,WeylAlgebras	transcript	differs	quotient of a Weyl algebra by a left ideal	reproduces		Bug		Core	under discussion		still no error forming W/ideal dx: dx_A*x_A = 0 while (dx*x)_A = 1. Missing guard is m2/quotring.m2:171, which GBs and calls rawQuotientRing without asking isWeylAlgebra -- available at rings.m2:64 and already used at quotring.m2:28. 'under discussion' applied 2020 by mahrud replacing 'just do'; last actual comment 2013-11-04
62	2013-11-19	2026-08-14	antonleykin	4	Bug	Interpreter	m2	syntax	overriding methods implemented internally	stands		Bug		Interpreter			retyped Feature->Bug. toList became a method in 8c4655f (#2433, 2022); reverse drop take join splice hash still CompiledFunction and still accept a method assignment that fails at use
69	2014-01-07	2026-08-14	DanGrayson	0	Bug	Interpreter	transcript	differs	additivity of timing	reproduces		Bug		Interpreter			still non-additive on 1.26.06: inner sum 9.32s vs outer 19.73s, the same ~2x the report shows
72	2014-01-09	2026-08-14	crgibbons	2	Task	Documentation	prose	n/a	"decompose" is a synonym for "minimalPrimes"	stands		Task		Documentation		comment	behaviour unchanged since 1997 and staying; decompose was the ORIGINAL name, aliased to minimalPrimes in 119f3cdd (2006) and un-aliased in 661998a0 (2008) after bugs/dan/0-confusing-synonyms. Docs contradict themselves: shared.m2 calls it a general verb, MinimalPrimes/doc.m2 calls it a synonym
73	2014-01-10	2026-08-14	mikestillman	0	Feature	Engine	prose	n/a	monomial ordering matrices	stands		Feature		Engine			monomialOrderMatrix and monomialOrderFromMatrix are still not defined; rawMonomialOrderingToMatrix is still unexposed
74	2014-01-11	2026-08-14	nilten	4	Feature	Engine,seeking a volunteer	prose	n/a	Efficient calculations in special Artinian rings	stands		Feature		Engine,seeking a volunteer			no special representation for K[x]/m^n; Dan (2014, 2016) says it needs engine C++ work and nobody has taken it -- author pinged twice, Dan declined both times
94	2014-02-09	2026-08-14	sacsar	2	Bug	Engine,Gröbner bases	transcript	differs	mingens fails for ideals with generators of degree 0	reproduces		Bug		Engine,Gröbner bases			still 9 generators from mingens where the 4 of J generate the same ideal (I == J true) on 1.26.06. #88, cited in the body, was closed completed in 2015 and did not fix this
101	2014-02-28	2026-08-14	kroner	2	Bug	Core,Documentation	transcript	differs	sort(List) MonomialOrder option	reproduces		Bug		Core,Documentation			sort(L, MonomialOrder=>Descending) still identical to plain sort; m2/lists.m2:216 'sort List := opts -> internalsort' binds opts and drops it, and help(sort,List) still advertises both options. Dan filed the same thing as bugs/dan/0-sort-doc in 2010; the bugs/ sweep already commented here 2026-08-04
104	2014-03-02	2026-08-14	jakobkroeker	0	Feature	Core	prose	n/a	proposed feature: support for getting the saturation exponent	stands		Feature		Core			saturate options are still only Strategy/BasisElementLimit/DegreeLimit/MinimalGenerators/PairLimit -- no way to obtain the saturation exponent. m2/quotient.m2
105	2014-03-02	2026-08-14	jakobkroeker	1	Task	Core,Documentation	prose	n/a	maybe ‘mingens’ could give an error in the inhomogeneous case	stands		Task		Core,Documentation		comment	recast as documentation + signature work. Behaviour is correct as far as testable (300 random + 3 constructed cases all minimal; doc's own example hits the true minimum 6). mingens-doc.m2 documents the outcome but promises less than delivered. Erroring would break IntegralClosure (454 of 460 inhomogeneous mingens calls across 4 check suites) and isHomogeneous is the wrong test anyway -- false over a LocalRing where mingens is legitimate. Plus: Strategy=>Inhomogeneous is inert for mingens (a real branch only in trim, matrix2.m2:245/275) and mingens accepts an unrecognized Strategy where trim errors
113	2014-03-05	2026-08-14	mikestillman	6	Bug	Core	m2	different-error	bad behavior (bug): substitute using a matrix of values	stands		Bug		Core		comment	partly addressed, core asks unmet. sub(m,matrix{{1}}) no longer returns a wrong value -- it errors 'cannot map rational to this ring' at m2/ringmap.m2:187 -- but Mike asked for matrix{{1/2}}, and both 'should give an error' asks are untouched: map(ZZ,R,{1}) and map(RR_53,S,{1}) still construct
114	2014-03-14	2026-08-14	antonleykin	2	Bug	Documentation	transcript	differs	bug: standardPairs	reproduces		Bug					output byte-identical to 2014: 1 indexes three of the five pairs. standardPairs-doc.m2:26 states condition 3 as 'the pairs index disjoint sets of monomials', which the output violates; Anton (2015) says the doc should match condition 3 on p.84 of the M2 book. Documentation label already correct
131	2014-05-12	2026-08-14	jimmathews	3	Task	Documentation	prose	n/a	Order of entry multiplication for matrix multiplication	stands		Task		Documentation			behaviour is deliberate and documented: ov_modules.m2:68 says matrices over R are really matrices over R'. Dan's actionable aside -- 'There should be more links to that page' -- is still true: 2 inbound links, and nothing in the SkewCommutative docs, which is where this reporter was
133	2014-05-25	2026-08-14	DanGrayson	2	Task	Core	transcript	differs	error message for ker(RingMap)	stands		Task		Core		comment	message did change -- now 'kernel: no method implemented for this type of ring map' -- but the ask to name the cause (coefficients not a field) is open, and fragandi offered wording on 2026-05-20 and got no reply. Same reproducer as #1518, which asks for the feature rather than the message; not a duplicate
143	2014-06-17	2026-08-14	DanGrayson	6	Bug	threads	m2	clean	parallel performance in threads and tasks	reproduces		Bug				comment	measured on 1.26.06, 4 tasks, allowableThreads=5: non-allocating work (spin) gets 4.0x, a perfect speedup; allocating work gets 1.78x of a possible 4.0x. The issue's own control -- same shape of workload with and without garbage -- still separates them, so this is GC serialization rather than a slow computation. threads label already correct
145	2014-06-24	2026-08-14	DanGrayson	1	Feature	Core	transcript	different-error	getWWW should time out	reproduces		Feature		Core			no timeout logic in m2/http.m2 at all: getWWW on unroutable 203.0.113.1 was still blocked at 20s where Dan asked for 2. mahrud said #1860 would resolve it; #1860 is still open, as are #4179 and #663 -- a getWWW/get family, but each a different ask
150	2014-07-02	2026-08-14	DanGrayson	1	Bug	Core	prose	n/a	dual modules over non-commutative rings	stands		Bug		Core			the bugs/ sweep already commented here 2026-08-13 with the current consequences: Ext and Tor are guarded off over noncommutative rings in five places while Hom, the one this issue says needs an antiautomorphism, has no guard at all
157	2014-07-30	2026-08-14	kschwede	6	Bug	Core	prose	n/a	improving trim	reproduces		Bug		Core		comment	worse than reported: J^3 in QQ[y,z]/(1+y^3+z^3) has 4 given generators, trim returns 5 -- trim made it worse -- while ideal gens gb gives the single generator (z+1), and J^3 == ideal(z+1) is true. Same family as #105: mingens/trim on inhomogeneous input
158	2014-07-30	2026-08-14	kschwede	0	Bug	Core	prose	n/a	isNormal for non-equidimensional rings	reproduces		Bug		Core			isNormal R is still false for R = QQ[x,y,z]/(x*(x+1),y*(x+1)); minimalPrimes are ideal(x+1) and ideal(y,x), a plane and a line, so R is non-equidimensional exactly as described. Body's underscores are markdown mangling of *
175	2014-09-19	2026-08-14	DanGrayson	1	Task	threads	prose	n/a	Thread safety	stands		Task					long-term project note, still live: mahrud added a 2025-07-05 checklist (??= locking, augmented assignment, database writes). This is the parent mechanism for #151 and #143 -- mpfr storing libgc pointers in thread-local storage the collector cannot see. threads label already correct
187	2014-11-04	2026-08-14	DanGrayson	1	Task	Documentation,build issue	prose	n/a	installing packages in parallel	stands		Task		build issue			still unimplemented: mahrud's 2020 suggestion was to make install-info a separate step run only by the install target. Related and open: #4554, #4587. Keeping Documentation (the subject is the info dir) and adding build issue (the defect is a make -j race)
212	2015-01-24	2026-08-14	DanGrayson	2	Task	build issue	prose	n/a	separate debug info file for gdb	stands		Task		build issue		comment	Makefile.in still splits debug info without teaching gdb to find it; mahrud (2020) notes newer gdb uses standard directories, which may make this moot -- unverified
234	2015-05-06	2026-08-14	DanGrayson	3	Bug	build issue	prose	n/a	M2 --script	reproduces		Bug		build issue		comment	confirmed platform split. macOS Tahoe/M5/Homebrew: execve gives ENOEXEC and the shell falls back to running the .m2 as /bin/sh ('stderr: command not found', 127). Linux 6.8 resolves it kernel-side. Workaround confirmed on BOTH: shebang M2-binary directly, since it is a real executable and the wrapper is redundant (env -u LD_LIBRARY_PATH M2-binary --version works). Comment lays out doc-only / compiled shim / drop-the-wrapper with trade-offs
241	2015-05-14	2026-08-14	jakobkroeker	3	Task	build issue	none	n/a	'plethysms.m2' test times out on my vm (the test takes 1500 sec), limit is 1000	stands		Task		build issue			Dan's proposed remedy -- a configure option for tests/slow, default no -- was never added: slow is still in SUBDIRS in Macaulay2/tests/Makefile.in. Did not reproduce the 1500s: ran 123s under --script before erroring on an unrelated == comparison, so the timing here is not clean
247	2015-05-21	2026-08-14	jakobkroeker	13	Feature	build issue,stale	shell	n/a	separate run script in environment-setting and M2-binary call:	stands		Feature		build issue			no M2.sh/M2.run split: /usr/bin/M2 is still one 560-byte wrapper that sets LD_LIBRARY_PATH and execs M2-binary. stale label applied 2020 by mahrud, 5 years after the last comment -- accurate, unlike under discussion on #58, so left alone
248	2015-05-21	2026-08-14	jakobkroeker	6	Task	build issue,stale	prose	n/a	automate as much as possible tests from '0-final-checks-before-distribution'	stands		Task				comment	the automation ask is unmet, but half the subject is settled: the bugs/ sweep verified 0-final-check-interactive-input-behaviour as fixed under a pty with expect, citing #813 and #820, and 0-final-checks-before-distribution was already gone before the 2024 removal so it is not in catalog.tsv. build issue and stale labels both already correct
252	2015-05-22	2026-08-14	DanGrayson	0	Task	Core	prose	n/a	minimalPresentation	stands		Task		Core			retyped Feature->Task. still asymmetric: minimalPresentation Module caches in M.cache, Ring sets R.minimalPresentationMap directly
254	2015-05-25	2026-08-14	DanGrayson	4	Feature	Core	opaque	n/a	names for maps	stands		Feature		Core		comment	only coverMap exists, which Dan noted already existed in 2015; kernelMap cokernelMap imageMap coimageMap superMap cosuperMap trimMap are all still undefined. doubleDualMap and pruneMap do exist, but in packages (Divisor, CompleteIntersectionResolutions, DGAlgebras and others), not Core
256	2015-05-28	2026-08-14	DanGrayson	3	Bug	Core	prose	n/a	quotient and ChangeMatrix	reproduces		Bug		Core		comment	reproduces: f // gb g gives map(R^0,R^1,0) while f // g and f // gb(g,ChangeMatrix=>true) both give the correct matrix{{x},{0}}, and f % g == 0 so f is in the image. Answers mahrud's unanswered 2024 question
257	2015-05-28	2026-08-14	DanGrayson	0	Task	Core	prose	n/a	remainder(Matrix,Matrix)	stands		Task		Core			a note-to-self from Dan, 0 comments, never acted on. #4539 shares vocabulary but is a documentation link issue, not this
269	2015-05-30	2026-08-14	reamesb	1	Feature	Core	prose	n/a	Diff does not work in fraction field	reproduces		Feature		Core			still errors: diff_x (1/x^3) gives 'expected a polynomial ring', and diff over frac R or frac QQ[t1,t2,t3] likewise. Dan's own example in the thread reproduces verbatim
273	2015-05-30	2026-08-14	DanGrayson	1	Task	Core	transcript	same-output	verbosity verbosity	reproduces		Task		Core			apropos 'Verb' still gives {Verbose, Verbosity}, byte-identical (run=same-output). Dan decided in 2019 to eliminate Verbosity, but it is now used 61 times in IntegralClosure and 13 in MinimalPrimes, so it is a refactor rather than a rename
278	2015-06-02	2026-08-14	DanGrayson	0	Task	Core	prose	n/a	gb trim M	stands		Task		Core			still commented out at m2/matrix2.m2:257-272 with the same explanation Dan quotes. Same root cause as #256: the gb cache does not record whether a change matrix was computed
279	2015-06-02	2026-08-14	DanGrayson	2	Task	Core	prose	n/a	Verbose with installPackage	stands		Task		Core			partly done: installPackage.m2:679 and :731 now test opts.Verbose or debugLevel, but :323, :716 and :811 still key on debugLevel alone (> 10, > 5, > 1)
283	2015-06-03	2026-08-14	DanGrayson	3	Feature	Core	transcript	differs	factoring constants	reproduces		Feature		Core			factor(6*x^3) still gives (x)^3*(6) over ZZ -- content unfactored -- while factor 6 alone gives 2*3. Mike's 2015 complexity objection (huge integer content) is unanswered
292	2015-06-05	2026-08-14	jakobkroeker	6	Feature	Engine,Gröbner bases	m2	different-error	local Gröbner bases over ZZ are not implemented (minimalization step)	fixed		Feature	local Gröbner bases over ZZ are not implemented (minimalization step)	Engine,Gröbner bases		comment	the real tracker for the family. Mike here: 'completes the GB internally, then hangs during minimalization... local ring computations over ZZ are not implemented... Eventually, we should add this'. No longer hangs -- errors at Core/gb.m2:160 per the guard agreed in this very thread
293	2015-06-05	2026-08-14	jakobkroeker	0	Feature	Gröbner bases	prose	n/a	nice to have: standard bases for local rings	stands		Feature		Gröbner bases			broader than the ZZ family: standard bases for local rings over any field, as an alternative to Singular std(). Not the #292 gap. 0 comments in 11 years
300	2015-06-09	2026-08-14	DanGrayson	0	Task	Core	transcript	differs	too much stored in cache tables?	reproduces		Task		Core			byte-identical to 2015: M === N true, M^[1] === N^[1] false, and the matrices genuinely differ (2x3 vs 1x3). Dan's design question -- should cacheTable contents that affect behaviour be moved out -- is unanswered, 0 comments in 11 years
