path	owner	prio	kind	lines	autorun	verdict	issue	fix	disposition	note
bugs/LAcore/LAPACK-crash.output	LAcore		note	77	n/a	todo				
bugs/LAcore/LAPACK.output	LAcore		note	20	n/a	todo				
bugs/LAcore/NOLAPACK.output	LAcore		note	20	n/a	todo				
bugs/LAcore/TO-DO-LAcore.md	LAcore		note	16	n/a	todo				
bugs/LAcore/bugLAPACK.m2	LAcore		repro	15	pass-partial	todo				
bugs/LAcore/testEigenvectors.m2	LAcore		repro	76	pass	todo				
bugs/LAcore/testLAPACKvsNOLAPACK.m2	LAcore		repro	17	pass	todo				
bugs/LAcore/testSVD.m2	LAcore		repro	40	pass	todo				
bugs/LAcore/testSolve.m2	LAcore		repro	29	pass	todo				
bugs/README	(root)		note	3	n/a	todo				
bugs/anton/DOC/Spaces.m2	anton		repro	18	pass	todo				
bugs/anton/Dmodules/h-arr.m2	anton		repro	142	fail	todo				
bugs/anton/EXPERIMENTS/SLP-experiments.m2	anton		repro	76	fail	todo				
bugs/anton/LINEAR-ALGEBRA/CCsubRR.m2	anton		repro	45	fail	todo				
bugs/anton/LINEAR-ALGEBRA/RESOLVED/gCorners.m2	anton		repro	9	fail	fixed		#1651	drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
bugs/anton/LINEAR-ALGEBRA/primaryDecomposition.m2	anton		repro	3	pass	todo				
bugs/anton/MEMORY-LEAKS-old/RESOLVED/mem-leak-1.m2	anton		repro	59	fail	fixed		#1096	drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
bugs/anton/MEMORY-LEAKS-old/RESOLVED/mem-leak-det.m2	anton		repro	50	fail	fixed		#1096	drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
bugs/anton/MEMORY-LEAKS-old/mem-leak-sparse-system.m2	anton		repro	109	fail	todo				
bugs/anton/MEMORY-LEAKS-old/track.gc-bug.m2	anton		repro	78	fail	todo				
bugs/anton/MEMORY-LEAKS/NAG-leaks.m2	anton		repro	149	pass	todo				
bugs/anton/MEMORY-LEAKS/RESOLVED/SLEvaluator-checking-for-leaks.m2	anton		repro	26	fail	fixed		#1096	drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
bugs/anton/MEMORY-LEAKS/RESOLVED/mutableMatrix-leak.m2	anton		repro	16	pass	fixed			drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
bugs/anton/MEMORY-LEAKS/RESOLVED/roots-leak.m2	anton		repro	10	pass	fixed		#2359	drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
bugs/anton/MEMORY-LEAKS/eigen-leaks.m2	anton		repro	140	pass-partial	todo				
bugs/anton/MEMORY-LEAKS/gb-leaks.m2	anton		repro	90	pass	todo				
bugs/anton/MEMORY-LEAKS/gf-bug.m2	anton		repro	54	pass	todo				
bugs/anton/MEMORY-LEAKS/hilb-leaks.m2	anton		repro	21	timeout	todo				
bugs/anton/MEMORY-LEAKS/mike-NAG.m2	anton		repro	29	fail	todo				
bugs/anton/MEMORY-LEAKS/monoid-leaks.m2	anton		repro	3	timeout	todo				
bugs/anton/MEMORY-LEAKS/test-mem-leaks.m2	anton		repro	19	pass	todo				
bugs/anton/MEMORY-LEAKS/track-leak.m2	anton		repro	8	timeout	todo				
bugs/anton/MISC/RESOLVED/complex-matrix-times-polynomial-matrix.m2	anton		repro	4	pass	fixed		#955	drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
bugs/anton/MISC/RESOLVED/n-decompose.m2	anton		repro	31	pass	fixed		#955	drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
bugs/anton/MISC/RESOLVED/radical.m2	anton		repro	17	pass-partial	fixed		#955	drop	author filed it under RESOLVED/; fix points at that filing, not necessarily the code change
